Sr#,District,Block,Village/Town Code,Village/Town Name,People Groups,Language Groups,Gath Type,MC,HC,PC,AV,EV,Church/Orgn Name,Pastor/Leader Name,Comments
40,Araria,Araria,1624221812,Jamua,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Ganesh lal,
41,Araria,Araria,1624221825,Jhamta,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
45,Araria,Araria,1624221811,Khamgara,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,Ganesh lal,AV to PC @ Sept'25
46,Araria,Araria,1624221843,Kharhar,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
47,Araria,Araria,1624221809,Kismat Jamua,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Pentecostal Church,Ganesh lal,PC to HC @ March'25
50,Araria,Araria,1624221853,Kusiargaon,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
51,Araria,Araria,1624221863,Lahna,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
53,Araria,Araria,1624221852,Lodipur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
56,Araria,Araria,1624221826,Mahisakol,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Ganesh lal,AV to PC @ Sept'25
58,Araria,Araria,1631221832,Majkuri,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,Ganesh lal,
59,Araria,Araria,1624221824,Metan,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
62,Araria,Araria,1624221829,Murbala,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
63,Araria,Araria,1624221870,Paik Tola,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,Ganesh lal,AV to PC @ Feb'25
65,Araria,Araria,1624221808,Phulbari,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
68,Araria,Araria,1624221862,Rampur Kudarkatti,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
69,Araria,Araria,1624221839,Rampur Mohanpur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
71,Araria,Araria,1624221821,Saguna,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
73,Araria,Araria,1624221841,Salaigarh,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
76,Araria,Araria,1624221813,Saranpur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
80,Araria,Araria,1624221807,Tarauna,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
82,Araria,Araria,1624221878,Tirhutbita,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
83,Araria,Bhargama,1625221679,Akarthappa,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
85,Araria,Bhargama,1625221678,Baija Patti,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Ind Church,,
87,Araria,Bhargama,2136221666,Barhmotar Chakla,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
88,Araria,Bhargama,1631221707,Barmotara,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,AV to PC @ Oct - Dec'25
90,Araria,Bhargama,1631221648,Bhargaon,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Ind Church,,
93,Araria,Bhargama,1625221674,Bhattaon Kamat,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
94,Araria,Bhargama,1841221671,Birnagar,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Ind Church,,
97,Araria,Bhargama,1841221682,Bisaria,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Ravi kumar,AV to PC @ Sept'25
98,Araria,Bhargama,1625221683,Bisaria Patti,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
99,Araria,Bhargama,2136221661,Bishunpr  Bhaiaram,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Ind Church,,
102,Araria,Bhargama,1625221694,Chandni Ghasi,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
104,Araria,Bhargama,1625221675,Chiraiya,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
106,Araria,Bhargama,1631221688,Dhanesri,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
108,Araria,Bhargama,1625569000,Dundbahadur Chakla,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
110,Araria,Bhargama,2136221663,Gamharia Milik,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,Ravi kumar,AV to PC @ Feb'25
113,Araria,Bhargama,1625221703,Harpur Kalan,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Ind Church,,
115,Araria,Bhargama,1625573400,Hingua Chakla,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
118,Araria,Bhargama,1625573200,Hingua Milik,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
121,Araria,Bhargama,1625221654,Jainagar,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Ravi kumar,
123,Araria,Bhargama,1625568900,Jhumuk Lal Chakla,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",MC,1,0,0,0,0,,Ravi kumar,
125,Araria,Bhargama,1625221667,Khajuri Milik,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Ravi kumar,
127,Araria,Bhargama,1629221652,Kusmaul,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Ravi kumar,
128,Araria,Bhargama,1625221697,Lachhmipur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
131,Araria,Bhargama,1631221644,Manullahpatti,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
134,Araria,Bhargama,1625221676,Nawalganj Pitamber,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
136,Araria,Bhargama,2136221664,Paik Para,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
138,Araria,Bhargama,1629221653,Pranpath Patti,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
142,Araria,Bhargama,1626221651,Shankarpur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
143,Araria,Bhargama,1626221650,Simarbani,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
144,Araria,Bhargama,1625221655,Sirsia Hanumanganj,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,,
149,Araria,Bhargama,1631221690,Tonha  Israin,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
152,Araria,Forbesganj,1626221589,Amgachhi,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
154,Araria,Forbesganj,1626221536,Arraha,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
155,Araria,Forbesganj,1626221557,Arraha Madarganj,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Ravi kumar,AV to PC @ Sept'25
159,Araria,Forbesganj,1626221631,Baghua,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
161,Araria,Forbesganj,1626221630,Baijnathpur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
164,Araria,Forbesganj,1626221632,Barantpur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
165,Araria,Forbesganj,1626221553,Basgara,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,Ravi kumar,AV to PC @ Oct - Dec'25
168,Araria,Forbesganj,1626221616,Bhadesar,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
169,Araria,Forbesganj,1626221624,Bhagchaura,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
172,Araria,Forbesganj,1626221543,Bhagparwaha,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ravi kumar,
173,Araria,Forbesganj,1626221619,Bhantabari,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
176,Araria,Forbesganj,1626221640,Bhawanipur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
179,Araria,Forbesganj,1631221562,Bokra,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Dharmendra ,
181,Araria,Forbesganj,1626557700,Dakripur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
184,Araria,Forbesganj,1626221617,Dhanpura,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Dharmendra ,
186,Araria,Forbesganj,1626221546,Dholbaja,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
189,Araria,Forbesganj,1626221596,Dumaria,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Dharmendra ,
191,Araria,Forbesganj,1626221548,Eidgah,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
192,Araria,Forbesganj,1626801306,Forbesganj (Nagar Parishad),"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",MC,1,0,0,0,0,,,New Survey Update @ March'25
195,Araria,Forbesganj,1626221643,Ghiwba,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Dharmendra ,
196,Araria,Forbesganj,1626221581,Ghoraghat,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Manav Kalyan,,PC to HC @ March'25
200,Araria,Forbesganj,1626221578,Halhalia,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
204,Araria,Forbesganj,1626221561,Hardia,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Dharmendra ,
205,Araria,Forbesganj,1626221613,Haripur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,,
206,Araria,Forbesganj,1626221586,Hasanpur Khurd,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
209,Araria,Forbesganj,1631221554,Jhirwa Pachhiari,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
212,Araria,Forbesganj,1626221602,Khair Khan,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",MC,1,0,0,0,0,,Dharmendra ,
213,Araria,Forbesganj,1626221584,Khamkol,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Dharmendra ,
216,Araria,Forbesganj,1626221588,Kulharia Jagir,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
219,Araria,Forbesganj,1626221591,Kusamaha,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
221,Araria,Forbesganj,1624221569,Lachhmipur Gachh,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Manav Kalyan,,
224,Araria,Forbesganj,1631221539,Mahachanda,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Dharmendra ,AV to PC @ Sept'25
226,Araria,Forbesganj,1626221566,Manikpur Halhalia,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",MC,1,0,0,0,0,Manav Kalyan,,
